product_type,variant,sku,product_price,actual_drop_date,drop_month,print,season,drop_time_holiday,print_gender,product_gender,main_color,designcat,designelement,returning_cohort,first_time_cohort,returning_sales,first_time_sales,rc_total,ft_total,rc_sales_total,ft_sales_total,order_quantity,confidence_score,sold_amount_14,sold_amount_30,sold_amount_45,sold_amount_60,sold_amount_75,sold_amount_90,sellout_flg,marketing_spend_drop,marketing_flag,convertible_romper_in_drop,pajama_set_in_drop,romper_in_drop,footie_in_drop,prints_in_drop,corrected_order_amt,total_sales_drop,proportion,order_proportion
Footie,3 - 6 Months,5868,36.0,2022-05-20,5,Fairy Tail,Spring,Regular,Girl,Neutral,Pink,Unicorns,Creatures,670,1175,1163.0,1613.0,9039,12068,50330.0,33310.0,120,A,14.0,22.0,26.0,49.0,48.0,48.0,0,,0,0,0,1,1,2,120,852.0,0.056338028169014086,0.04580152671755725
Footie,Newborn,5866,36.0,2022-05-20,5,Fairy Tail,Winter,Regular,Girl,Neutral,Pink,Unicorns,Creatures,119,230,163.0,251.0,9039,12068,50330.0,33310.0,50,A,2.0,7.0,10.0,18.0,18.0,18.0,0,,0,0,0,0,1,2,50,852.0,0.02112676056338028,0.019083969465648856
Toddler Dress,5/6Y,5895,52.0,2022-05-20,5,Fairy Tail,Winter,Regular,Girl,Girl,Pink,Unicorns,Creatures,298,263,469.0,322.0,9039,12068,50330.0,33310.0,60,A,16.0,19.0,21.0,28.0,29.0,31.0,0,,0,0,1,0,0,2,60,852.0,0.036384976525821594,0.022900763358778626
Footie,12 - 18 Months,5871,36.0,2022-05-20,5,Fairy Tail,Summer,Regular,Girl,Neutral,Pink,Unicorns,Creatures,1056,843,1942.0,1223.0,9039,12068,50330.0,33310.0,100,A,15.0,21.0,26.0,48.0,53.0,55.0,0,,0,0,0,1,1,2,100,852.0,0.06455399061032864,0.03816793893129771
Toddler Dress,2T,5892,52.0,2022-05-20,5,Fairy Tail,Winter,Regular,Girl,Girl,Pink,Unicorns,Creatures,755,370,1268.0,454.0,9039,12068,50330.0,33310.0,80,A,3.0,3.0,3.0,4.0,4.0,4.0,0,,0,0,1,1,1,2,80,852.0,0.004694835680751174,0.030534351145038167
Pajama Set,2T,5886,39.0,2022-05-20,5,Fairy Tail,Fall,Regular,Girl,Neutral,Pink,Unicorns,Creatures,755,370,1268.0,454.0,9039,12068,50330.0,33310.0,100,A,17.0,21.0,21.0,22.0,22.0,22.0,0,,0,0,1,1,1,2,100,852.0,0.025821596244131457,0.03816793893129771
Baby Dress,6 - 12 Months,5882,38.0,2022-05-20,5,Fairy Tail,Spring,Regular,Girl,Girl,Pink,Unicorns,Creatures,403,309,596.0,371.0,9039,12068,50330.0,33310.0,90,A,20.0,25.0,29.0,40.0,44.0,43.0,0,,0,0,0,0,0,2,90,852.0,0.05046948356807512,0.03435114503816794
Toddler Dress,3T,5893,52.0,2022-05-20,5,Fairy Tail,Fall,Regular,Girl,Girl,Pink,Unicorns,Creatures,368,200,522.0,224.0,9039,12068,50330.0,33310.0,80,A,7.0,10.0,10.0,12.0,12.0,12.0,0,,0,0,1,0,0,2,80,852.0,0.014084507042253521,0.030534351145038167
Baby Dress,3 - 6 Months,5881,38.0,2022-05-20,5,Fairy Tail,Summer,Regular,Girl,Girl,Pink,Unicorns,Creatures,670,1175,1163.0,1613.0,9039,12068,50330.0,33310.0,80,A,6.0,8.0,9.0,13.0,14.0,15.0,0,,0,0,0,1,1,2,80,852.0,0.017605633802816902,0.030534351145038167
Baby Dress,12 - 18 Months,5883,38.0,2022-05-20,5,Fairy Tail,Summer,Regular,Girl,Girl,Pink,Unicorns,Creatures,1056,843,1942.0,1223.0,9039,12068,50330.0,33310.0,90,A,15.0,23.0,24.0,29.0,29.0,30.0,0,,0,0,0,1,1,2,90,852.0,0.035211267605633804,0.03435114503816794
Pajama Set,4T,5888,39.0,2022-05-20,5,Fairy Tail,Fall,Regular,Girl,Neutral,Pink,Unicorns,Creatures,301,187,412.0,227.0,9039,12068,50330.0,33310.0,100,A,19.0,21.0,21.0,27.0,27.0,27.0,0,,0,0,1,0,0,2,100,852.0,0.03169014084507042,0.03816793893129771
Romper,6 - 9 Months,5876,36.0,2022-05-20,5,Fairy Tail,Spring,Regular,Girl,Neutral,Pink,Unicorns,Creatures,758,1112,1360.0,1528.0,9039,12068,50330.0,33310.0,90,A,19.0,25.0,28.0,34.0,34.0,34.0,0,,0,0,0,1,1,2,90,852.0,0.03990610328638498,0.03435114503816794
Romper,9 - 12 Months,5877,36.0,2022-05-20,5,Fairy Tail,Winter,Regular,Girl,Neutral,Pink,Unicorns,Creatures,831,852,1405.0,1160.0,9039,12068,50330.0,33310.0,90,A,20.0,27.0,30.0,40.0,44.0,46.0,0,,0,0,0,1,1,2,90,852.0,0.0539906103286385,0.03435114503816794
Footie,6 - 9 Months,5869,36.0,2022-05-20,5,Fairy Tail,Winter,Regular,Girl,Neutral,Pink,Unicorns,Creatures,758,1112,1360.0,1528.0,9039,12068,50330.0,33310.0,120,A,8.0,16.0,18.0,34.0,35.0,39.0,0,,0,0,0,1,1,2,120,852.0,0.045774647887323945,0.04580152671755725
Footie,0 - 3 Months,5867,36.0,2022-05-20,5,Fairy Tail,Fall,Regular,Girl,Neutral,Pink,Unicorns,Creatures,322,575,438.0,738.0,9039,12068,50330.0,33310.0,80,A,11.0,18.0,21.0,33.0,40.0,42.0,0,,0,0,0,1,1,2,80,852.0,0.04929577464788732,0.030534351145038167
Pajama Set,5/6Y,5889,39.0,2022-05-20,5,Fairy Tail,Summer,Regular,Girl,Neutral,Pink,Unicorns,Creatures,298,263,469.0,322.0,9039,12068,50330.0,33310.0,80,A,16.0,21.0,21.0,23.0,24.0,24.0,0,,0,0,1,0,0,2,80,852.0,0.028169014084507043,0.030534351145038167
Toddler Dress,7/8Y,5896,52.0,2022-05-20,5,Fairy Tail,Summer,Regular,Girl,Girl,Pink,Unicorns,Creatures,186,143,282.0,168.0,9039,12068,50330.0,33310.0,50,A,5.0,6.0,7.0,12.0,15.0,15.0,0,,0,0,1,0,0,2,50,852.0,0.017605633802816902,0.019083969465648856
Pajama Set,9/10Y,5891,39.0,2022-05-20,5,Fairy Tail,Spring,Regular,Girl,Neutral,Pink,Unicorns,Creatures,77,39,115.0,40.0,9039,12068,50330.0,33310.0,50,A,1.0,1.0,2.0,5.0,5.0,5.0,0,,0,0,1,0,0,2,50,852.0,0.005868544600938967,0.019083969465648856
Footie,18 - 24 Months,5872,36.0,2022-05-20,5,Fairy Tail,Winter,Regular,Girl,Neutral,Pink,Unicorns,Creatures,831,545,1458.0,779.0,9039,12068,50330.0,33310.0,100,A,16.0,19.0,20.0,34.0,33.0,33.0,0,,0,0,0,1,1,2,100,852.0,0.03873239436619718,0.03816793893129771
Baby Dress,18 - 24 Months,5884,38.0,2022-05-20,5,Fairy Tail,Summer,Regular,Girl,Girl,Pink,Unicorns,Creatures,831,545,1458.0,779.0,9039,12068,50330.0,33310.0,90,A,15.0,18.0,18.0,26.0,28.0,30.0,0,,0,0,0,1,1,2,90,852.0,0.035211267605633804,0.03435114503816794
Romper,12 - 18 Months,5878,36.0,2022-05-20,5,Fairy Tail,Spring,Regular,Girl,Neutral,Pink,Unicorns,Creatures,1056,843,1942.0,1223.0,9039,12068,50330.0,33310.0,80,A,16.0,21.0,27.0,40.0,41.0,41.0,0,,0,0,0,1,1,2,80,852.0,0.04812206572769953,0.030534351145038167
Mom Pants,2XL,12364,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Adult Wear - Women,Pink,Ornaments,Christmas,316,120,447.0,125.0,14134,22749,120356.0,78380.0,30,A,63.0,69.0,73.0,76.0,75.0,74.0,1,2095.9213333333337,1,0,0,0,0,5,60,11343.0,0.006523847306708984,0.005221932114882507
Footie,0 - 3 Months,12325,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,540,1352,868.0,1911.0,14134,22749,120356.0,78380.0,235,A,210.0,238.0,242.0,241.0,241.0,241.0,0,2095.9213333333337,1,1,0,0,1,5,235,11343.0,0.021246583796173852,0.040905134899912966
Toddler Dress,4T,12355,62.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,1049,562,2007.0,705.0,14134,22749,120356.0,78380.0,75,A,70.0,68.0,72.0,72.0,72.0,72.0,0,2095.9213333333337,1,0,1,0,0,5,75,11343.0,0.006347527109230362,0.013054830287206266
Pajama Set,7/8Y,12349,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,544,460,1053.0,567.0,14134,22749,120356.0,78380.0,130,A,382.0,656.0,814.0,815.0,813.0,808.0,1,2095.9213333333337,1,0,1,0,0,5,260,11343.0,0.07123335978136296,0.022628372497824196
Footie,12 - 18 Months,12329,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,1597,1778,3458.0,2670.0,14134,22749,120356.0,78380.0,365,A,318.0,376.0,373.0,372.0,371.0,371.0,0,2095.9213333333337,1,1,0,0,1,5,365,11343.0,0.03270739663228423,0.06353350739773717
Convertible Romper,3T,12339,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,1235,555,2409.0,673.0,14134,22749,120356.0,78380.0,65,A,64.0,64.0,71.0,70.0,65.0,65.0,1,2095.9213333333337,1,1,1,0,0,5,130,11343.0,0.005730406418055188,0.011314186248912098
Convertible Romper,3 - 6 Months,12333,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,902,1989,1663.0,2992.0,14134,22749,120356.0,78380.0,65,A,62.0,62.0,70.0,70.0,70.0,70.0,1,2095.9213333333337,1,1,0,0,1,5,130,11343.0,0.006171206911751741,0.011314186248912098
Footie,9 - 12 Months,12328,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,918,1549,1737.0,2335.0,14134,22749,120356.0,78380.0,355,A,248.0,352.0,360.0,360.0,358.0,358.0,0,2095.9213333333337,1,1,0,0,1,5,355,11343.0,0.03156131534867319,0.06179286335944299
Mom Pants,XL,12363,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Adult Wear - Women,Pink,Ornaments,Christmas,459,145,653.0,166.0,14134,22749,120356.0,78380.0,55,A,131.0,148.0,153.0,156.0,156.0,155.0,1,2095.9213333333337,1,0,0,0,0,5,110,11343.0,0.013664815304593141,0.009573542210617928
Pajama Set,3T,12346,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,1235,555,2409.0,673.0,14134,22749,120356.0,78380.0,335,A,548.0,828.0,1217.0,1268.0,1269.0,1267.0,1,2095.9213333333337,1,1,1,0,0,5,670,11343.0,0.11169884510270651,0.058311575282854654
Toddler Dress,9/10Y,12358,62.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,322,259,610.0,351.0,14134,22749,120356.0,78380.0,30,A,17.0,26.0,31.0,31.0,31.0,31.0,0,2095.9213333333337,1,0,1,0,0,5,30,11343.0,0.0027329630609186284,0.005221932114882507
Mom Pants,M,12361,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Adult Wear - Women,Pink,Ornaments,Christmas,523,152,751.0,160.0,14134,22749,120356.0,78380.0,90,A,184.0,199.0,212.0,217.0,216.0,214.0,1,2095.9213333333337,1,0,0,0,0,5,180,11343.0,0.018866261130212465,0.015665796344647518
Toddler Dress,2T,12353,62.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,2016,977,4695.0,1356.0,14134,22749,120356.0,78380.0,75,A,67.0,67.0,74.0,73.0,73.0,73.0,0,2095.9213333333337,1,1,1,0,1,5,75,11343.0,0.0064356872079696726,0.013054830287206266
Footie,18 - 24 Months,12330,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,1615,1160,3416.0,1711.0,14134,22749,120356.0,78380.0,250,A,198.0,240.0,248.0,246.0,246.0,246.0,0,2095.9213333333337,1,1,0,0,1,5,250,11343.0,0.021687384289870406,0.04351610095735422
Baby Dress,6 - 12 Months,12341,38.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,616,337,914.0,363.0,14134,22749,120356.0,78380.0,160,A,132.0,153.0,161.0,161.0,159.0,159.0,0,2095.9213333333337,1,0,0,0,0,5,160,11343.0,0.014017455699550383,0.0278503046127067
Convertible Romper,12 - 18 Months,12336,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,1597,1778,3458.0,2670.0,14134,22749,120356.0,78380.0,150,A,146.0,145.0,153.0,153.0,152.0,152.0,1,2095.9213333333337,1,1,0,0,1,5,300,11343.0,0.01340033500837521,0.02610966057441253
Footie,Newborn,12324,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,228,471,346.0,596.0,14134,22749,120356.0,78380.0,135,A,103.0,131.0,136.0,136.0,136.0,136.0,0,2095.9213333333337,1,0,0,0,1,5,135,11343.0,0.01198977342854624,0.02349869451697128
Mom Pants,S,12360,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Adult Wear - Women,Pink,Ornaments,Christmas,436,148,655.0,162.0,14134,22749,120356.0,78380.0,80,A,250.0,337.0,350.0,353.0,353.0,350.0,1,2095.9213333333337,1,0,0,0,0,5,160,11343.0,0.030856034558758707,0.01392515230635335
Mom Pants,XS,12359,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Adult Wear - Women,Pink,Ornaments,Christmas,25,9,25.0,10.0,14134,22749,120356.0,78380.0,50,A,94.0,159.0,209.0,226.0,230.0,231.0,1,2095.9213333333337,1,0,0,0,0,5,100,11343.0,0.020364982808780747,0.008703220191470844
Baby Dress,12 - 18 Months,12342,38.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,1597,1778,3458.0,2670.0,14134,22749,120356.0,78380.0,125,A,121.0,119.0,126.0,126.0,125.0,125.0,1,2095.9213333333337,1,1,0,0,1,5,250,11343.0,0.011020012342413824,0.02175805047867711
Convertible Romper,2T,12338,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,2016,977,4695.0,1356.0,14134,22749,120356.0,78380.0,80,A,75.0,75.0,80.0,80.0,79.0,79.0,0,2095.9213333333337,1,1,1,0,1,5,80,11343.0,0.006964647800405536,0.01392515230635335
Convertible Romper,9 - 12 Months,12335,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,918,1549,1737.0,2335.0,14134,22749,120356.0,78380.0,105,A,101.0,100.0,109.0,109.0,108.0,108.0,1,2095.9213333333337,1,1,0,0,1,5,210,11343.0,0.009521290663845543,0.018276762402088774
Footie,2T,12331,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,2016,977,4695.0,1356.0,14134,22749,120356.0,78380.0,200,A,158.0,193.0,201.0,200.0,200.0,200.0,0,2095.9213333333337,1,1,1,0,1,5,200,11343.0,0.017632019747862118,0.034812880765883375
Pajama Set,2T,12345,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,2016,977,4695.0,1356.0,14134,22749,120356.0,78380.0,330,A,438.0,796.0,855.0,851.0,842.0,841.0,1,2095.9213333333337,1,1,1,0,1,5,660,11343.0,0.0741426430397602,0.057441253263707574
Toddler Dress,5/6Y,12356,62.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,869,620,1549.0,764.0,14134,22749,120356.0,78380.0,60,A,64.0,63.0,62.0,62.0,62.0,62.0,1,2095.9213333333337,1,0,1,0,0,5,120,11343.0,0.005465926121837257,0.010443864229765013
Footie,6 - 9 Months,12327,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,777,1653,1480.0,2375.0,14134,22749,120356.0,78380.0,380,A,222.0,383.0,393.0,391.0,389.0,388.0,0,2095.9213333333337,1,1,0,0,1,5,380,11343.0,0.03420611831085251,0.06614447345517842
Baby Dress,2T,12344,38.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,2016,977,4695.0,1356.0,14134,22749,120356.0,78380.0,70,A,64.0,63.0,67.0,67.0,67.0,67.0,0,2095.9213333333337,1,1,1,0,1,5,70,11343.0,0.005906726615533809,0.012184508268059183
Pajama Set,5/6Y,12348,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,869,620,1549.0,764.0,14134,22749,120356.0,78380.0,235,A,538.0,906.0,1488.0,1586.0,1581.0,1579.0,1,2095.9213333333337,1,0,1,0,0,5,470,11343.0,0.13920479590937143,0.040905134899912966
Baby Dress,3 - 6 Months,12340,38.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,902,1989,1663.0,2992.0,14134,22749,120356.0,78380.0,95,A,60.0,69.0,96.0,96.0,95.0,95.0,0,2095.9213333333337,1,1,0,0,1,5,95,11343.0,0.008375209380234505,0.016536118363794605
Baby Dress,18 - 24 Months,12343,38.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,1615,1160,3416.0,1711.0,14134,22749,120356.0,78380.0,95,A,87.0,86.0,91.0,91.0,89.0,88.0,0,2095.9213333333337,1,1,0,0,1,5,95,11343.0,0.007758088689059332,0.016536118363794605
Toddler Dress,3T,12354,62.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,1235,555,2409.0,673.0,14134,22749,120356.0,78380.0,75,A,71.0,69.0,71.0,70.0,71.0,71.0,0,2095.9213333333337,1,1,1,0,0,5,75,11343.0,0.006259367010491052,0.013054830287206266
Convertible Romper,6 - 9 Months,12334,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,777,1653,1480.0,2375.0,14134,22749,120356.0,78380.0,100,A,92.0,93.0,99.0,99.0,98.0,98.0,0,2095.9213333333337,1,1,0,0,1,5,100,11343.0,0.008639689676452438,0.017406440382941687
Footie,3 - 6 Months,12326,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,902,1989,1663.0,2992.0,14134,22749,120356.0,78380.0,420,A,263.0,427.0,430.0,429.0,428.0,428.0,0,2095.9213333333337,1,1,0,0,1,5,420,11343.0,0.03773252226042493,0.0731070496083551
Pajama Set,4T,12347,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,1049,562,2007.0,705.0,14134,22749,120356.0,78380.0,280,A,523.0,838.0,1177.0,1257.0,1257.0,1254.0,1,2095.9213333333337,1,0,1,0,0,5,560,11343.0,0.11055276381909548,0.04873803307223673
Pajama Set,9/10Y,12350,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,322,259,610.0,351.0,14134,22749,120356.0,78380.0,50,A,166.0,212.0,232.0,234.0,232.0,232.0,1,2095.9213333333337,1,0,1,0,0,5,100,11343.0,0.020453142907520056,0.008703220191470844
Mom Pants,L,12362,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Adult Wear - Women,Pink,Ornaments,Christmas,510,160,697.0,172.0,14134,22749,120356.0,78380.0,90,A,242.0,271.0,285.0,288.0,285.0,283.0,1,2095.9213333333337,1,0,0,0,0,5,180,11343.0,0.024949307943224898,0.015665796344647518
Mom Pants,3XL,12365,39.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Adult Wear - Women,Pink,Ornaments,Christmas,26,0,25.0,,14134,22749,120356.0,78380.0,30,A,65.0,74.0,78.0,83.0,82.0,79.0,1,2095.9213333333337,1,0,0,0,0,5,60,11343.0,0.006964647800405536,0.005221932114882507
Convertible Romper,18 - 24 Months,12337,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,1615,1160,3416.0,1711.0,14134,22749,120356.0,78380.0,110,A,102.0,101.0,111.0,111.0,110.0,110.0,0,2095.9213333333337,1,1,0,0,1,5,110,11343.0,0.009697610861324165,0.019147084421235857
Convertible Romper,0 - 3 Months,12332,36.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Neutral,Pink,Ornaments,Christmas,540,1352,868.0,1911.0,14134,22749,120356.0,78380.0,35,A,32.0,32.0,39.0,38.0,37.0,37.0,0,2095.9213333333337,1,1,0,0,1,5,35,11343.0,0.003261923653354492,0.006092254134029591
Toddler Dress,7/8Y,12357,62.0,2023-10-04,10,Merry Little Pinkmas,Winter,X-Mas,Girl,Girl,Pink,Ornaments,Christmas,544,460,1053.0,567.0,14134,22749,120356.0,78380.0,50,A,45.0,44.0,47.0,47.0,46.0,46.0,0,2095.9213333333337,1,0,1,0,0,5,50,11343.0,0.004055364542008287,0.008703220191470844
Footie,Newborn,10754,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,252,517,365.0,629.0,8340,10665,59136.0,33086.0,25,C,4.0,9.0,11.0,17.0,22.0,24.0,0,47.26011111111111,1,0,0,0,1,2,25,627.0,0.03827751196172249,0.026881720430107527
Pajama Set,4T,10771,39.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,912,457,1603.0,560.0,8340,10665,59136.0,33086.0,50,C,7.0,10.0,12.0,12.0,13.0,14.0,0,47.26011111111111,1,0,1,0,0,2,50,627.0,0.022328548644338118,0.053763440860215055
Footie,2T,10761,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,1675,729,3260.0,973.0,8340,10665,59136.0,33086.0,20,C,13.0,17.0,17.0,17.0,17.0,17.0,0,47.26011111111111,1,0,1,1,1,2,20,627.0,0.02711323763955343,0.021505376344086023
Footie,6 - 9 Months,10757,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,675,1203,1145.0,1587.0,8340,10665,59136.0,33086.0,60,C,31.0,57.0,58.0,58.0,58.0,58.0,0,47.26011111111111,1,0,0,1,1,2,60,627.0,0.09250398724082935,0.06451612903225806
Footie,9 - 12 Months,10758,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,771,1072,1252.0,1437.0,8340,10665,59136.0,33086.0,60,C,37.0,48.0,59.0,59.0,59.0,59.0,0,47.26011111111111,1,0,0,1,1,2,60,627.0,0.09409888357256778,0.06451612903225806
Pajama Set,2T,10769,39.0,2023-07-19,7,Peas and Thank You,Winter,Regular,Neutral,Neutral,Light Blue,Peas,Foods,1675,729,3260.0,973.0,8340,10665,59136.0,33086.0,50,C,5.0,8.0,8.0,8.0,15.0,18.0,0,47.26011111111111,1,0,1,1,1,2,50,627.0,0.028708133971291867,0.053763440860215055
Romper,3 - 6 Months,10763,36.0,2023-07-19,7,Peas and Thank You,Winter,Regular,Neutral,Neutral,Light Blue,Peas,Foods,834,1598,1412.0,2129.0,8340,10665,59136.0,33086.0,60,C,8.0,14.0,15.0,16.0,18.0,19.0,0,47.26011111111111,1,0,0,1,1,2,60,627.0,0.030303030303030304,0.06451612903225806
Footie,18 - 24 Months,10760,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,1363,879,2515.0,1169.0,8340,10665,59136.0,33086.0,40,C,20.0,33.0,38.0,38.0,38.0,38.0,0,47.26011111111111,1,0,0,1,1,2,40,627.0,0.06060606060606061,0.043010752688172046
Romper,18 - 24 Months,10767,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,1363,879,2515.0,1169.0,8340,10665,59136.0,33086.0,40,C,9.0,13.0,15.0,18.0,19.0,20.0,0,47.26011111111111,1,0,0,1,1,2,40,627.0,0.03189792663476874,0.043010752688172046
Pajama Set,3T,10770,39.0,2023-07-19,7,Peas and Thank You,Winter,Regular,Neutral,Neutral,Light Blue,Peas,Foods,1070,395,1863.0,473.0,8340,10665,59136.0,33086.0,45,C,16.0,25.0,26.0,28.0,31.0,34.0,0,47.26011111111111,1,0,1,0,0,2,45,627.0,0.05422647527910686,0.04838709677419355
Footie,12 - 18 Months,10759,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,1317,1105,2567.0,1462.0,8340,10665,59136.0,33086.0,60,C,18.0,32.0,57.0,57.0,57.0,57.0,0,47.26011111111111,1,0,0,1,1,2,60,627.0,0.09090909090909091,0.06451612903225806
Footie,3 - 6 Months,10756,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,834,1598,1412.0,2129.0,8340,10665,59136.0,33086.0,75,C,32.0,49.0,70.0,76.0,76.0,76.0,0,47.26011111111111,1,0,0,1,1,2,75,627.0,0.12121212121212122,0.08064516129032258
Romper,12 - 18 Months,10766,36.0,2023-07-19,7,Peas and Thank You,Winter,Regular,Neutral,Neutral,Light Blue,Peas,Foods,1317,1105,2567.0,1462.0,8340,10665,59136.0,33086.0,40,C,11.0,15.0,22.0,27.0,31.0,35.0,0,47.26011111111111,1,0,0,1,1,2,40,627.0,0.05582137161084529,0.043010752688172046
Pajama Set,5/6Y,10772,39.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,690,395,1131.0,483.0,8340,10665,59136.0,33086.0,30,C,6.0,9.0,11.0,12.0,13.0,15.0,0,47.26011111111111,1,0,1,0,0,2,30,627.0,0.023923444976076555,0.03225806451612903
Romper,0 - 3 Months,10762,36.0,2023-07-19,7,Peas and Thank You,Winter,Regular,Neutral,Neutral,Light Blue,Peas,Foods,443,1101,675.0,1465.0,8340,10665,59136.0,33086.0,35,C,2.0,3.0,4.0,5.0,5.0,5.0,0,47.26011111111111,1,0,0,1,1,2,35,627.0,0.007974481658692184,0.03763440860215054
Romper,6 - 9 Months,10764,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,675,1203,1145.0,1587.0,8340,10665,59136.0,33086.0,55,C,13.0,20.0,25.0,29.0,29.0,33.0,0,47.26011111111111,1,0,0,1,1,2,55,627.0,0.05263157894736842,0.05913978494623656
Footie,0 - 3 Months,10755,36.0,2023-07-19,7,Peas and Thank You,Fall,Regular,Neutral,Neutral,Light Blue,Peas,Foods,443,1101,675.0,1465.0,8340,10665,59136.0,33086.0,50,C,17.0,31.0,47.0,49.0,49.0,49.0,0,47.26011111111111,1,0,0,1,1,2,50,627.0,0.07814992025518341,0.053763440860215055
